Flights (All Carriers - All Airports ),,,,
Year,Month,DOMESTIC,INTERNATIONAL,TOTAL
2002,10,"8,15,489","92,565","9,08,054"
2002,11,"7,66,775","91,342","8,58,117"
2002,12,"7,82,175","96,881","8,79,056"
2002,TOTAL,"80,85,083","10,23,994","91,09,077"
2003,1,"7,85,651","98,053","8,83,704"
2003,2,"6,90,750","85,965","7,76,715"
2003,3,"7,97,634","97,929","8,95,563"
2003,4,"7,66,639","89,398","8,56,037"
2003,5,"7,89,857","87,671","8,77,528"
2003,6,"7,98,841","95,435","8,94,276"
2003,7,"8,32,075","1,02,795","9,34,870"
2003,8,"8,31,185","1,02,145","9,33,330"
2003,9,"7,82,264","90,681","8,72,945"
2003,10,"8,18,777","91,820","9,10,597"
2003,11,"7,66,266","91,004","8,57,270"
2003,12,"7,98,879","97,094","8,95,973"
2003,TOTAL,"94,58,818","11,29,990","1,05,88,808"
2004,1,"7,87,719","98,671","8,86,390"
2004,2,"7,62,038","92,915","8,54,953"
2004,3,"8,34,912","1,01,541","9,36,453"
2004,4,"8,18,293","1,00,027","9,18,320"
2004,5,"8,33,861","1,02,602","9,36,463"
2004,6,"8,37,451","1,04,769","9,42,220"
2004,7,"8,71,526","1,13,956","9,85,482"
2004,8,"8,83,458","1,12,497","9,95,955"
2004,9,"8,19,715","96,493","9,16,208"
2004,10,"8,61,739","97,757","9,59,496"
2004,11,"8,20,586","96,169","9,16,755"
2004,12,"8,36,749","1,03,282","9,40,031"
2004,TOTAL,"99,68,047","12,20,679","1,11,88,726"
2005,1,"8,07,817","1,04,435","9,12,252"
2005,2,"7,61,366","94,597","8,55,963"
2005,3,"8,67,055","1,08,324","9,75,379"
2005,4,"8,38,535","1,05,103","9,43,638"
2005,5,"8,73,425","1,08,663","9,82,088"
2005,6,"8,63,921","1,10,219","9,74,140"
2005,7,"8,87,493","1,18,188","10,05,681"
2005,8,"8,91,350","1,16,031","10,07,381"
2005,9,"8,15,316","1,01,031","9,16,347"
2005,10,"8,31,717","99,765","9,31,482"
2005,11,"7,97,856","96,426","8,94,282"
2005,12,"8,02,522","1,04,899","9,07,421"
2005,TOTAL,"1,00,38,373","12,67,681","1,13,06,054"
2006,1,"7,85,817","1,06,320","8,92,137"
2006,2,"7,16,229","96,254","8,12,483"
2006,3,"8,24,241","1,10,615","9,34,856"
2006,4,"7,94,799","1,07,878","9,02,677"
