Operating Revenue (In Thousands of Dollars $000) (All U.S. Carriers - All regions),,,,,,,
Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000,1,"2,32,62,183","16,39,679","26,90,229","22,40,370","3,70,524","3,02,02,987"
2000,2,"2,55,73,067","16,26,743","34,19,032","24,32,840","3,90,007","3,34,41,689"
2000,3,"2,53,13,087","17,76,933","37,96,968","28,01,208","3,70,491","3,40,58,686"
2000,4,"2,47,51,473","17,61,932","31,13,734","25,45,414","3,72,305","3,25,44,858"
2000,TOTAL,"9,88,99,811","68,05,287","1,30,19,963","1,00,19,832","15,03,327","13,02,48,220"
2001,1,"2,36,20,312","18,48,448","29,13,460","23,19,491","4,09,925","3,11,11,636"
2001,2,"2,39,87,256","16,95,829","34,61,580","23,13,437","3,43,148","3,18,01,250"
2001,3,"2,09,50,846","16,07,118","33,54,092","23,37,637","1,75,204","2,84,24,897"
2001,4,"1,79,61,577","13,82,343","23,55,216","18,22,516","3,67,535","2,38,89,187"
2001,TOTAL,"8,65,19,991","65,33,737","1,20,84,349","87,93,081","12,95,812","11,52,26,970"
2002,1,"1,89,33,402","15,70,487","22,34,540","19,90,620","3,63,648","2,50,92,698"
2002,2,"2,05,77,509","14,91,241","29,45,816","22,54,430","3,32,809","2,76,01,805"
2002,3,"1,99,91,294","15,24,572","32,24,111","25,11,105","3,49,376","2,76,00,459"
2002,4,"1,97,85,273","14,98,818","26,70,009","24,88,801","3,86,765","2,68,29,665"
2002,TOTAL,"7,92,87,478","60,85,118","1,10,74,476","92,44,957","14,32,599","10,71,24,627"
2003,1,"2,06,92,159","16,85,703","25,42,765","22,44,552","4,94,873","2,76,60,051"
2003,2,"2,20,66,941","15,49,992","29,71,953","19,72,968","4,20,780","2,89,82,633"
2003,3,"2,31,66,224","15,87,724","32,91,695","23,19,427","4,16,950","3,07,82,019"
2003,4,"2,29,44,772","15,77,789","29,20,730","24,39,233","4,60,788","3,03,43,311"
2003,TOTAL,"8,88,70,096","64,01,207","1,17,27,142","89,76,179","17,93,391","11,77,68,014"
2004,1,"2,38,86,067","19,13,157","28,56,520","24,57,368","5,20,600","3,16,33,711"
2004,2,"2,58,61,558","17,60,412","35,74,109","26,43,537","4,58,638","3,42,98,255"
2004,3,"2,57,01,945","18,20,052","38,57,882","28,57,825","4,83,372","3,47,21,076"
2004,4,"2,54,52,940","18,70,593","33,46,180","28,09,887","5,27,642","3,40,07,242"
2004,TOTAL,"10,09,02,510","73,64,215","1,36,34,690","1,07,68,617","19,90,252","13,46,60,284"
2005,1,"2,56,88,272","22,28,071","32,37,584","28,09,042","7,18,114","3,46,81,084"
2005,2,"2,84,18,255","20,94,849","40,81,050","31,39,866","6,68,959","3,84,02,979"
2005,3,"2,90,46,508","21,50,520","45,20,600","33,81,518","7,07,787","3,98,06,934"
2005,4,"2,87,05,027","21,45,615","37,25,338","32,87,353","7,90,074","3,86,53,407"
2005,TOTAL,"11,18,58,063","86,19,055","1,55,64,572","1,26,17,779","28,84,934","15,15,44,403"
2006,1,"2,83,96,127","25,79,082","35,37,831","31,41,367","7,31,363","3,83,85,770"
2006,2,"3,17,43,405","25,77,504","48,38,065","34,12,294","6,52,246","4,32,23,514"
2006,3,"3,10,76,705","25,64,685","52,00,377","36,99,996","7,37,731","4,32,79,494"
2006,4,"2,96,90,689","25,79,610","41,75,807","34,30,858","7,66,061","4,06,43,024"
